6982	171404	0	79	776	90	50000000	1	null	null	andriod	accept
6841	171404	0	79	776	90	50000000	1	null	null	andriod	accept
6956	171474	0	79	764	60	15000000	4	null	null	google	accept
6955	171474	0	79	764	60	15000000	4	null	null	google	accept
6927	171474	0	79	764	60	15000000	4	null	null	google	accept
6532	171499	0	79	769	30	10000000	2	null	null	google	accept
4941	171499	0	79	769	30	10000000	2	null	null	google	accept
6983	171622	0	79	774	30	10000000	8	null	null	tima	accept
6955	171622	0	79	774	30	10000000	8	null	null	tima	accept
6982	171622	0	79	774	30	10000000	8	null	null	tima	accept
6988	171622	0	79	774	30	10000000	8	null	null	tima	accept
6497	171674	0	79	762	36	500000000	11	null	null	com.google.android.googlequicksearchbox	accept
6743	171674	0	79	762	36	500000000	11	null	null	com.google.android.googlequicksearchbox	accept
6802	171713	1	1	7	24	25000000	12	null	null	google	accept
6763	171713	1	1	7	24	25000000	12	null	null	google	accept
6825	171781	0	1	8	90	10000000	1	null	null	tima	accept
6497	171840	1	79	762	20	5000000	1	null	null	facebook	accept
6994	171840	1	79	762	20	5000000	1	null	null	facebook	accept
6841	171840	1	79	762	20	5000000	1	null	null	facebook	accept
6712	171972	0	79	765	60	10000000	1	null	null	andriod	accept
6983	171992	1	79	774	40	5000000	8	null	null	tima	accept
6955	171992	1	79	774	40	5000000	8	null	null	tima	accept
4941	171992	1	79	774	40	5000000	8	null	null	tima	accept
6981	171992	1	79	774	40	5000000	8	null	null	tima	accept
6962	172015	0	79	775	30	15000000	4	null	null	google	accept
6981	172015	0	79	775	30	15000000	4	null	null	google	accept
6707	172015	0	79	775	30	15000000	4	null	null	google	accept
6961	172015	0	79	775	30	15000000	4	null	null	google	accept
6983	172049	-1	79	761	90	10000000	4	null	null	com.google.android.googlequicksearchbox	accept
6644	172115	-1	79	762	30	10000000	4	null	null	null	accept
6981	172115	-1	79	762	30	10000000	4	null	null	null	accept
6936	172149	-1	1	10	100	30000000	8	null	null	adwords_webform_tunganh_sohokhau	accept
6996	172149	-1	1	10	100	30000000	8	null	null	adwords_webform_tunganh_sohokhau	accept
6888	172149	-1	1	10	100	30000000	8	null	null	adwords_webform_tunganh_sohokhau	accept
4722	172158	-1	1	8	60	50000000	14	null	null	google	accept
4918	172158	-1	1	8	60	50000000	14	null	null	google	accept
4924	172158	-1	1	8	60	50000000	14	null	null	google	accept
6825	172167	0	1	9	30	50000000	1	null	null	google	accept
6935	172167	0	1	9	30	50000000	1	null	null	google	accept
6802	172167	0	1	9	30	50000000	1	null	null	google	accept
6715	172176	-1	1	268	30	40000000	2	null	null	google	accept
6707	172242	1	79	774	50	25000000	8	null	null	tima	accept
6962	172242	1	79	774	50	25000000	8	null	null	tima	accept
6994	172242	1	79	774	50	25000000	8	null	null	tima	accept
6949	172326	-1	79	778	60	10000000	1	null	null	spt_linhltd	accept
6881	172331	0	1	10	30	10000000	1	null	null	google	accept
6802	172331	0	1	10	30	10000000	1	null	null	google	accept
6994	172426	1	79	770	30	10000000	4	null	null	google	accept
6955	172483	0	79	769	90	25000000	4	null	null	google	accept
6793	172483	0	79	769	90	25000000	4	null	null	google	accept
6669	172485	1	1	9	100	15000000	2	null	null	google	accept
6835	172565	1	79	764	90	25000000	4	null	null	google	accept
6987	172565	1	79	764	90	25000000	4	null	null	google	accept
6994	172565	1	79	764	90	25000000	4	null	null	google	accept
6962	172590	-1	79	777	100	5000000	8	null	null	tima	accept
6707	172590	-1	79	777	100	5000000	8	null	null	tima	accept
6961	172590	-1	79	777	100	5000000	8	null	null	tima	accept
6987	172590	-1	79	777	100	5000000	8	null	null	tima	accept
6987	172610	0	79	766	100	15000000	8	null	null	google	accept
6962	172624	1	79	771	30	10000000	1	null	null	tima	accept
6707	172624	1	79	771	30	10000000	1	null	null	tima	accept
6983	172633	1	79	762	30	10000000	14	null	null	tima	accept
6998	172633	1	79	762	30	10000000	14	null	null	tima	accept
6516	172635	0	1	17	100	20000000	8	null	null	tima	accept
6497	172708	0	79	761	90	10000000	1	null	null	Facebook_Leadform-tinchap-Tima_TungAnh_Original-HCM	accept
6998	172708	0	79	761	90	10000000	1	null	null	Facebook_Leadform-tinchap-Tima_TungAnh_Original-HCM	accept
6627	168717	1	1	8	36	30000000	12	null	null	tima	accept
